Pop,MissingRate,Method,Fuzzy_Accuracy
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,SVD_KNN_Hankel,97.2
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,Spline,96.7
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR.RESTENA.LU 10-24-2023,,ARIMA,95.2
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR.RESTENA.LU 10-24-2023,,HoltWinters,94.92
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR.RESTENA.LU 10-24-2023,,KNN_Sklearn,95.85
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR.RESTENA.LU 10-24-2023,,Kalman,92.56
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR.RESTENA.LU 10-24-2023,,LOCF,93.5
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR.RESTENA.LU 10-24-2023,,Linear,94.48
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR.RESTENA.LU 10-24-2023,,Mean,95.85
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR.RESTENA.LU 10-24-2023,,SVD_KNN,95.73
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR.RESTENA.LU 10-24-2023,,SVD_KNN_Hankel,95.82
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR.RESTENA.LU 10-24-2023,,Spline,92.29
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,ARIMA,97.04
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,HoltWinters,97.46
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,KNN_Sklearn,97.7
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,Kalman,96.74
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,LOCF,97.24
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,Linear,97.01
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,Mean,97.7
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,SVD_KNN,97.11
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,SVD_KNN_Hankel,97.34
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,Spline,96.87
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PSPMP-ANELLA.CSUC.CAT 10-24-2023,,ARIMA,96.84
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PSPMP-ANELLA.CSUC.CAT 10-24-2023,,HoltWinters,96.6
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PSPMP-ANELLA.CSUC.CAT 10-24-2023,,KNN_Sklearn,97.11
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PSPMP-ANELLA.CSUC.CAT 10-24-2023,,Kalman,95.11
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PSPMP-ANELLA.CSUC.CAT 10-24-2023,,LOCF,95.24
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PSPMP-ANELLA.CSUC.CAT 10-24-2023,,Linear,95.61
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PSPMP-ANELLA.CSUC.CAT 10-24-2023,,Mean,97.11
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PSPMP-ANELLA.CSUC.CAT 10-24-2023,,SVD_KNN,96.69
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PSPMP-ANELLA.CSUC.CAT 10-24-2023,,SVD_KNN_Hankel,97.07
ESMOND DATA PSMP-GN-BW-POZ-PL.GEANT.ORG TO PSPMP-ANELLA.CSUC.CAT 10-24-2023,,Spline,94.14
ESMOND DATA PSMP-GN-BW-VIE-AT.GEANT.ORG TO PSMALL.LUT.AC.UK 10-24-2023,,ARIMA,98.7
ESMOND DATA PSMP-GN-BW-VIE-AT.GEANT.ORG TO PSMALL.LUT.AC.UK 10-24-2023,,HoltWinters,98.6
ESMOND DATA PSMP-GN-BW-VIE-AT.GEANT.ORG TO PSMALL.LUT.AC.UK 10-24-2023,,KNN_Sklearn,98.71
ESMOND DATA PSMP-GN-BW-VIE-AT.GEANT.ORG TO PSMALL.LUT.AC.UK 10-24-2023,,Kalman,97.03
ESMOND DATA PSMP-GN-BW-VIE-AT.GEANT.ORG TO PSMALL.LUT.AC.UK 10-24-2023,,LOCF,97.87
ESMOND DATA PSMP-GN-BW-VIE-AT.GEANT.ORG TO PSMALL.LUT.AC.UK 10-24-2023,,Linear,98.28
ESMOND DATA PSMP-GN-BW-VIE-AT.GEANT.ORG TO PSMALL.LUT.AC.UK 10-24-2023,,Mean,98.71
ESMOND DATA PSMP-GN-BW-VIE-AT.GEANT.ORG TO PSMALL.LUT.AC.UK 10-24-2023,,SVD_KNN,98.71
ESMOND DATA PSMP-GN-BW-VIE-AT.GEANT.ORG TO PSMALL.LUT.AC.UK 10-24-2023,,SVD_KNN_Hankel,98.71
ESMOND DATA PSMP-GN-BW-VIE-AT.GEANT.ORG TO PSMALL.LUT.AC.UK 10-24-2023,,Spline,97.14
ESMOND DATA PSPMP-ANELLA.CSUC.CAT TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,ARIMA,94.79
ESMOND DATA PSPMP-ANELLA.CSUC.CAT TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,HoltWinters,94.59
ESMOND DATA PSPMP-ANELLA.CSUC.CAT TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,KNN_Sklearn,95.19
ESMOND DATA PSPMP-ANELLA.CSUC.CAT TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,Kalman,91.94
ESMOND DATA PSPMP-ANELLA.CSUC.CAT TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,LOCF,93.53
ESMOND DATA PSPMP-ANELLA.CSUC.CAT TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,Linear,93.64
ESMOND DATA PSPMP-ANELLA.CSUC.CAT TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,Mean,95.19
ESMOND DATA PSPMP-ANELLA.CSUC.CAT TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,SVD_KNN,95.09
ESMOND DATA PSPMP-ANELLA.CSUC.CAT TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,SVD_KNN_Hankel,95.13
ESMOND DATA PSPMP-ANELLA.CSUC.CAT TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,Spline,91.95
